id,artist
TEST_00000,Henri de Toulouse-Lautrec
TEST_00001,Amedeo Modigliani
TEST_00002,Titian
TEST_00003,Marc Chagall
TEST_00004,Vincent van Gogh
TEST_00005,Marc Chagall
TEST_00006,Diego Rivera
TEST_00007,Vincent van Gogh
TEST_00008,Vincent van Gogh
TEST_00009,Vincent van Gogh
TEST_00010,Vincent van Gogh
TEST_00011,Piet Mondrian
TEST_00012,Vincent van Gogh
TEST_00013,Vincent van Gogh
TEST_00014,Andy Warhol
TEST_00015,Diego Rivera
TEST_00016,Pablo Picasso
TEST_00017,Pablo Picasso
TEST_00018,Georges Seurat
TEST_00019,Vincent van Gogh
TEST_00020,Peter Paul Rubens
TEST_00021,Marc Chagall
TEST_00022,Camille Pissarro
TEST_00023,El Greco
TEST_00024,Vincent van Gogh
TEST_00025,Georges Seurat
TEST_00026,Vincent van Gogh
TEST_00027,Edvard Munch
TEST_00028,Pablo Picasso
TEST_00029,Vincent van Gogh
TEST_00030,Diego Rivera
TEST_00031,Pablo Picasso
TEST_00032,Edvard Munch
TEST_00033,Georges Seurat
TEST_00034,Vincent van Gogh
TEST_00035,Georges Seurat
TEST_00036,Gustav Klimt
TEST_00037,Andy Warhol
TEST_00038,Pablo Picasso
TEST_00039,Francisco Goya
TEST_00040,Vincent van Gogh
TEST_00041,Camille Pissarro
TEST_00042,Edgar Degas
TEST_00043,Gustav Klimt
TEST_00044,Pablo Picasso
TEST_00045,Vincent van Gogh
TEST_00046,Peter Paul Rubens
TEST_00047,Rene Magritte
TEST_00048,Paul Klee
TEST_00049,Edgar Degas
TEST_00050,Pablo Picasso
TEST_00051,Pablo Picasso
TEST_00052,El Greco
TEST_00053,William Turner
TEST_00054,Alfred Sisley
TEST_00055,Vincent van Gogh
TEST_00056,Andy Warhol
TEST_00057,El Greco
TEST_00058,Kazimir Malevich
TEST_00059,Leonardo da Vinci
TEST_00060,Diego Rivera
TEST_00061,Andrei Rublev
TEST_00062,Diego Rivera
TEST_00063,Vincent van Gogh
TEST_00064,Henri de Toulouse-Lautrec
TEST_00065,Alfred Sisley
TEST_00066,Vincent van Gogh
TEST_00067,Jan van Eyck
