,id,artist
0,TEST_00000,Edgar Degas
1,TEST_00001,Amedeo Modigliani
2,TEST_00002,Caravaggio
3,TEST_00003,Albrecht Du rer
4,TEST_00004,Vincent van Gogh
5,TEST_00005,Vincent van Gogh
6,TEST_00006,Pablo Picasso
7,TEST_00007,Vincent van Gogh
8,TEST_00008,El Greco
9,TEST_00009,Pieter Bruegel
10,TEST_00010,Vincent van Gogh
11,TEST_00011,Rene Magritte
12,TEST_00012,Vincent van Gogh
13,TEST_00013,Edgar Degas
14,TEST_00014,Sandro Botticelli
15,TEST_00015,Diego Rivera
16,TEST_00016,Vincent van Gogh
17,TEST_00017,Pablo Picasso
18,TEST_00018,Giotto di Bondone
19,TEST_00019,Pierre-Auguste Renoir
20,TEST_00020,Pierre-Auguste Renoir
21,TEST_00021,Rene Magritte
22,TEST_00022,Camille Pissarro
23,TEST_00023,Titian
24,TEST_00024,Diego Rivera
25,TEST_00025,Pierre-Auguste Renoir
26,TEST_00026,Vincent van Gogh
27,TEST_00027,Vincent van Gogh
28,TEST_00028,Salvador Dali
29,TEST_00029,Amedeo Modigliani
30,TEST_00030,Frida Kahlo
31,TEST_00031,Amedeo Modigliani
32,TEST_00032,Amedeo Modigliani
33,TEST_00033,Henri Matisse
34,TEST_00034,Vincent van Gogh
35,TEST_00035,Edgar Degas
36,TEST_00036,Paul Gauguin
37,TEST_00037,Vincent van Gogh
38,TEST_00038,Henri Matisse
39,TEST_00039,Titian
40,TEST_00040,Giotto di Bondone
41,TEST_00041,Sandro Botticelli
42,TEST_00042,Titian
43,TEST_00043,Edgar Degas
44,TEST_00044,Salvador Dali
45,TEST_00045,Sandro Botticelli
46,TEST_00046,Hieronymus Bosch
47,TEST_00047,Rembrandt
48,TEST_00048,Paul Klee
49,TEST_00049,Edgar Degas
50,TEST_00050,Camille Pissarro
51,TEST_00051,Vincent van Gogh
52,TEST_00052,El Greco
53,TEST_00053,Edgar Degas
54,TEST_00054,Andrei Rublev
55,TEST_00055,Amedeo Modigliani
56,TEST_00056,Raphael
57,TEST_00057,El Greco
58,TEST_00058,Mikhail Vrubel
59,TEST_00059,Leonardo da Vinci
60,TEST_00060,Hieronymus Bosch
61,TEST_00061,Paul Klee
62,TEST_00062,Amedeo Modigliani
63,TEST_00063,Francisco Goya
64,TEST_00064,Rembrandt
65,TEST_00065,Edgar Degas
66,TEST_00066,Vincent van Gogh
67,TEST_00067,Rembrandt
68,TEST_00068,Edgar Degas
69,TEST_00069,Titian
70,TEST_00070,Edgar Degas
71,TEST_00071,Albrecht Du rer
72,TEST_00072,Salvador Dali
73,TEST_00073,Mikhail Vrubel
74,TEST_00074,Pierre-Auguste Renoir
75,TEST_00075,Vincent van Gogh
76,TEST_00076,Edgar Degas
77,TEST_00077,Marc Chagall
78,TEST_00078,Albrecht Du rer
79,TEST_00079,Vincent van Gogh
80,TEST_00080,Paul Klee
81,TEST_00081,Diego Velazquez
82,TEST_00082,Edgar Degas
83,TEST_00083,Claude Monet
84,TEST_00084,Vincent van Gogh
85,TEST_00085,Pablo Picasso
86,TEST_00086,Titian
87,TEST_00087,Pieter Bruegel
88,TEST_00088,Pablo Picasso
89,TEST_00089,Pablo Picasso
90,TEST_00090,Paul Klee
91,TEST_00091,Alfred Sisley
92,TEST_00092,Camille Pissarro
93,TEST_00093,Paul Klee
94,TEST_00094,Pieter Bruegel
95,TEST_00095,Camille Pissarro
96,TEST_00096,Diego Rivera
97,TEST_00097,Pierre-Auguste Renoir
98,TEST_00098,Pierre-Auguste Renoir
99,TEST_00099,Alfred Sisley
100,TEST_00100,Paul Gauguin
101,TEST_00101,Kazimir Malevich
102,TEST_00102,Henri Matisse
103,TEST_00103,Giotto di Bondone
104,TEST_00104,Sandro Botticelli
105,TEST_00105,Caravaggio
106,TEST_00106,Camille Pissarro
107,TEST_00107,Vincent van Gogh
108,TEST_00108,Alfred Sisley
109,TEST_00109,Albrecht Du rer
110,TEST_00110,Pierre-Auguste Renoir
