id,artist
TEST_00000,Edgar Degas
TEST_00001,Amedeo Modigliani
TEST_00002,Caravaggio
TEST_00003,Albrecht Du rer
TEST_00004,Vincent van Gogh
TEST_00005,Vincent van Gogh
TEST_00006,Pablo Picasso
TEST_00007,Vincent van Gogh
TEST_00008,El Greco
TEST_00009,Pieter Bruegel
TEST_00010,Vincent van Gogh
TEST_00011,Rene Magritte
TEST_00012,Vincent van Gogh
TEST_00013,Edgar Degas
TEST_00014,Sandro Botticelli
TEST_00015,Diego Rivera
TEST_00016,Vincent van Gogh
TEST_00017,Pablo Picasso
TEST_00018,Giotto di Bondone
TEST_00019,Pierre-Auguste Renoir
TEST_00020,Pierre-Auguste Renoir
TEST_00021,Rene Magritte
TEST_00022,Camille Pissarro
TEST_00023,Titian
TEST_00024,Diego Rivera
TEST_00025,Pierre-Auguste Renoir
TEST_00026,Vincent van Gogh
TEST_00027,Vincent van Gogh
TEST_00028,Salvador Dali
TEST_00029,Amedeo Modigliani
TEST_00030,Frida Kahlo
TEST_00031,Amedeo Modigliani
TEST_00032,Amedeo Modigliani
TEST_00033,Henri Matisse
TEST_00034,Vincent van Gogh
TEST_00035,Edgar Degas
TEST_00036,Paul Gauguin
TEST_00037,Vincent van Gogh
TEST_00038,Henri Matisse
TEST_00039,Titian
TEST_00040,Giotto di Bondone
TEST_00041,Sandro Botticelli
TEST_00042,Titian
TEST_00043,Edgar Degas
TEST_00044,Salvador Dali
TEST_00045,Sandro Botticelli
TEST_00046,Hieronymus Bosch
TEST_00047,Rembrandt
TEST_00048,Paul Klee
TEST_00049,Edgar Degas
TEST_00050,Camille Pissarro
TEST_00051,Vincent van Gogh
TEST_00052,El Greco
TEST_00053,Edgar Degas
TEST_00054,Andrei Rublev
TEST_00055,Amedeo Modigliani
TEST_00056,Raphael
TEST_00057,El Greco
TEST_00058,Mikhail Vrubel
TEST_00059,Leonardo da Vinci
TEST_00060,Hieronymus Bosch
TEST_00061,Paul Klee
TEST_00062,Amedeo Modigliani
TEST_00063,Francisco Goya
TEST_00064,Rembrandt
TEST_00065,Edgar Degas
TEST_00066,Vincent van Gogh
TEST_00067,Rembrandt
TEST_00068,Edgar Degas
TEST_00069,Titian
TEST_00070,Edgar Degas
TEST_00071,Albrecht Du rer
TEST_00072,Salvador Dali
TEST_00073,Mikhail Vrubel
TEST_00074,Pierre-Auguste Renoir
TEST_00075,Vincent van Gogh
TEST_00076,Edgar Degas
TEST_00077,Marc Chagall
TEST_00078,Albrecht Du rer
TEST_00079,Vincent van Gogh
TEST_00080,Paul Klee
TEST_00081,Diego Velazquez
TEST_00082,Edgar Degas
TEST_00083,Claude Monet
TEST_00084,Vincent van Gogh
TEST_00085,Pablo Picasso
TEST_00086,Titian
TEST_00087,Pieter Bruegel
TEST_00088,Pablo Picasso
TEST_00089,Pablo Picasso
TEST_00090,Paul Klee
TEST_00091,Alfred Sisley
TEST_00092,Camille Pissarro
TEST_00093,Paul Klee
TEST_00094,Pieter Bruegel
TEST_00095,Camille Pissarro
TEST_00096,Diego Rivera
TEST_00097,Pierre-Auguste Renoir
TEST_00098,Pierre-Auguste Renoir
TEST_00099,Alfred Sisley
TEST_00100,Paul Gauguin
TEST_00101,Kazimir Malevich
TEST_00102,Henri Matisse
TEST_00103,Giotto di Bondone
TEST_00104,Sandro Botticelli
TEST_00105,Caravaggio
TEST_00106,Camille Pissarro
TEST_00107,Vincent van Gogh
TEST_00108,Alfred Sisley
TEST_00109,Albrecht Du rer
TEST_00110,Pierre-Auguste Renoir
TEST_00111,Kazimir Malevich
TEST_00112,Edouard Manet
TEST_00113,Henri Matisse
TEST_00114,Raphael
TEST_00115,Edvard Munch
TEST_00116,Diego Rivera
TEST_00117,Vincent van Gogh
TEST_00118,Raphael
TEST_00119,Georges Seurat
TEST_00120,Andy Warhol
TEST_00121,Amedeo Modigliani
TEST_00122,Andrei Rublev
TEST_00123,Titian
TEST_00124,Rene Magritte
TEST_00125,Peter Paul Rubens
TEST_00126,Leonardo da Vinci
TEST_00127,Vincent van Gogh
TEST_00128,Diego Velazquez
TEST_00129,Jan van Eyck
TEST_00130,Alfred Sisley
