id,artist
TEST_00000,Vincent van Gogh
TEST_00001,Amedeo Modigliani
TEST_00002,Titian
TEST_00003,Albrecht Du rer
TEST_00004,Vincent van Gogh
TEST_00005,Rene Magritte
TEST_00006,Vincent van Gogh
TEST_00007,Amedeo Modigliani
TEST_00008,El Greco
TEST_00009,Vincent van Gogh
TEST_00010,Alfred Sisley
TEST_00011,Rene Magritte
TEST_00012,Gustav Klimt
TEST_00013,Vincent van Gogh
TEST_00014,Andy Warhol
TEST_00015,Vincent van Gogh
TEST_00016,El Greco
TEST_00017,Georges Seurat
TEST_00018,Giotto di Bondone
TEST_00019,Pierre-Auguste Renoir
TEST_00020,Francisco Goya
TEST_00021,Pablo Picasso
TEST_00022,Camille Pissarro
TEST_00023,Peter Paul Rubens
TEST_00024,Vincent van Gogh
TEST_00025,Pierre-Auguste Renoir
TEST_00026,Vincent van Gogh
TEST_00027,Amedeo Modigliani
TEST_00028,Rene Magritte
TEST_00029,Pablo Picasso
TEST_00030,Amedeo Modigliani
TEST_00031,Pablo Picasso
TEST_00032,Amedeo Modigliani
TEST_00033,Pablo Picasso
TEST_00034,Vincent van Gogh
TEST_00035,Edgar Degas
TEST_00036,Paul Gauguin
TEST_00037,Amedeo Modigliani
TEST_00038,Hieronymus Bosch
TEST_00039,Amedeo Modigliani
TEST_00040,Pablo Picasso
TEST_00041,Gustav Klimt
TEST_00042,Peter Paul Rubens
TEST_00043,Vincent van Gogh
TEST_00044,Pablo Picasso
TEST_00045,Paul Gauguin
TEST_00046,Amedeo Modigliani
TEST_00047,Francisco Goya
TEST_00048,Amedeo Modigliani
TEST_00049,Edgar Degas
TEST_00050,Camille Pissarro
TEST_00051,Vincent van Gogh
TEST_00052,Vincent van Gogh
TEST_00053,Vincent van Gogh
TEST_00054,Vincent van Gogh
TEST_00055,Vincent van Gogh
TEST_00056,Francisco Goya
TEST_00057,Pablo Picasso
TEST_00058,Pablo Picasso
TEST_00059,Vincent van Gogh
TEST_00060,Vincent van Gogh
TEST_00061,Amedeo Modigliani
TEST_00062,Amedeo Modigliani
TEST_00063,Vincent van Gogh
TEST_00064,Mikhail Vrubel
TEST_00065,Gustav Klimt
TEST_00066,Vincent van Gogh
TEST_00067,Francisco Goya
TEST_00068,Vincent van Gogh
TEST_00069,Francisco Goya
TEST_00070,Georges Seurat
TEST_00071,Albrecht Du rer
TEST_00072,Sandro Botticelli
TEST_00073,Vincent van Gogh
TEST_00074,Vincent van Gogh
TEST_00075,Vincent van Gogh
TEST_00076,Amedeo Modigliani
TEST_00077,Marc Chagall
TEST_00078,Vincent van Gogh
TEST_00079,Georges Seurat
TEST_00080,Amedeo Modigliani
TEST_00081,Piet Mondrian
TEST_00082,Edgar Degas
TEST_00083,Vincent van Gogh
TEST_00084,Vincent van Gogh
TEST_00085,Pablo Picasso
TEST_00086,Peter Paul Rubens
TEST_00087,Francisco Goya
TEST_00088,Rene Magritte
TEST_00089,Pablo Picasso
TEST_00090,Henri Matisse
TEST_00091,Pierre-Auguste Renoir
TEST_00092,Vincent van Gogh
TEST_00093,Amedeo Modigliani
